ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Sales,year,month
10206,47,100.0,6,4.559322443063611e+31,12/5/2003 0:00,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,nan,Vancouver,BC,V3F 2K1,Canada,nan,Tannamuri,Yoshi,Large,6752275500202588.0,2015,January
10215,35,100.0,3,1.855845537967144e+30,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,nan,Burbank,CA,94019,USA,nan,Thompson,Steve,Medium,1362294218576568.8,2005,January
10228,29,100.0,2,3.045067245192316e+30,3/10/2004 0:00,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,nan,Cambridge,MA,51247,USA,nan,Tseng,Kyung,Medium,1745012104597649.0,2007,January
10245,34,100.0,9,1.9688126520103824e+30,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,nan,New Haven,CT,97823,USA,nan,Murphy,Leslie,Medium,1403143845801414.0,2009,January
10258,32,100.0,6,1.211097974635432e+31,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,nan,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,3480083295893120.0,2010,January
10270,21,100.0,9,3.352650877075986e+29,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,579020800755550.2,2011,January
10280,34,100.0,2,1.7027472436678931e+31,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,nan,Torino,nan,10100,Italy,EMEA,Accorti,Paolo,Large,4126435803048307.5,2012,January
10291,37,100.0,11,6.725603127856112e+30,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,nan,Boras,nan,S-844 67,Sweden,EMEA,Larsson,Maria,Large,2593376780927930.0,2013,January
10304,47,100.0,6,1.1468058411566149e+32,10/11/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",nan,Versailles,nan,78000,France,EMEA,Tonini,Daniel,Large,1.0708902096651248e+16,2014,January
10312,48,100.0,3,3.332384767750271e+32,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,nan,San Rafael,CA,97562,USA,nan,Nelson,Valarie,Large,1.8254820644833164e+16,2014,January
10322,40,100.0,1,1.6805120042467508e+30,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,nan,Nashua,NH,62005,USA,nan,Young,Valarie,Medium,1296345634561535.8,2015,January
10333,26,100.0,3,6.613672075875637e+27,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,nan,San Francisco,CA,nan,USA,nan,Murphy,Julie,Medium,81324486324081.0,2015,January
10347,30,100.0,1,5.862891279133746e+28,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,242134080193882.38,2015,January
10357,32,100.0,10,1.101593759721608e+30,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,nan,San Rafael,CA,97562,USA,nan,Nelson,Valarie,Medium,1049568368293179.9,2016,January
10369,41,100.0,2,1.7266347433109035e+29,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,nan,Brickhaven,MA,58339,USA,nan,Nelson,Allen,Medium,415527946510328.44,2006,January
10381,36,100.0,3,2.156018306021704e+31,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,nan,San Francisco,CA,nan,USA,nan,Brown,Julie,Large,4643294418860066.0,2007,January
10391,24,100.0,4,1.1630025328167128e+27,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,34102822944980.86,2008,January
10411,23,100.0,9,8.633675934828016e+28,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,nan,Montreal,Quebec,H1J 1C3,Canada,nan,Fresnisre,Jean,Medium,293831174908790.4,2010,January
10424,50,100.0,6,4.30268434085488e+32,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",nan,Madrid,nan,28034,Spain,EMEA,Freyre,Diego,Large,2.0742912864048e+16,2010,January
10107,39,99.91,5,5.313595959130761e+28,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,nan,NYC,NY,10022,USA,nan,Yu,Kwai,Medium,230512384897878.34,2005,January
10120,29,96.34,3,3.7122491717047687e+27,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,60928229678079.18,2007,January
10134,27,100.0,5,1.433119588558815e+28,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,nan,Paris,nan,75508,France,EMEA,Da Cunha,Daniel,Medium,119712972921017.0,2010,January
10145,37,100.0,9,5.288264005972363e+29,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,nan,Pasadena,CA,90003,USA,nan,Young,Julie,Medium,727204510847695.6,2011,January
10159,37,100.0,17,4.012685091521003e+29,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,nan,San Francisco,CA,nan,USA,nan,Brown,Julie,Medium,633457582756809.6,2013,January
10168,27,100.0,4,3.226497991831342e+28,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,nan,Burlingame,CA,94217,USA,nan,Hirano,Juri,Medium,179624552660023.12,2013,January
10180,42,100.0,12,2.3633538550296497e+29,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",nan,Lille,nan,59000,France,EMEA,Rance,Martine,Medium,486143379573315.75,2014,January
10188,38,96.34,4,3.2264274858747623e+28,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",nan,Bergen,nan,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,179622590056895.75,2014,January
10201,24,100.0,5,7.028449599026501e+27,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,nan,San Francisco,CA,nan,USA,nan,Murphy,Julie,Medium,83835849128081.84,2015,January
10210,23,100.0,2,6.721735504407505e+27,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",nan,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,81986190937300.56,2005,January
10223,47,100.0,4,7.473533826056781e+29,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,864496028102893.1,2006,January
10236,22,100.0,1,4.3781801282559374e+27,4/3/2004 0:00,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,nan,Philadelphia,PA,71270,USA,nan,Hernandez,Rosa,Small,66167817919710.31,2008,January
10251,44,100.0,5,1.205813503388281e+30,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,nan,Newark,NJ,94019,USA,nan,Brown,William,Medium,1098095398127267.0,2009,January
10263,40,100.0,5,1.5996109154863056e+29,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,nan,Bridgewater,CT,97562,USA,nan,King,Julie,Medium,399951361478656.0,2010,January
10275,22,100.0,4,5.064065028610913e+27,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",nan,Nantes,nan,44000,France,EMEA,Labrune,Janine,Small,71162244403973.89,2011,January
10285,47,100.0,9,3.1265125610310603e+30,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,nan,Cambridge,MA,51247,USA,nan,Hernandez,Marta,Medium,1768194718075772.5,2012,January
10298,39,96.34,1,3.971641061167546e+28,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",nan,Nantes,nan,44000,France,EMEA,Schmitt,Carine,Medium,199289765446385.78,2013,January
10308,34,100.0,2,7.152449656458101e+28,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,nan,White Plains,NY,24067,USA,nan,Frick,Steve,Medium,267440641198343.3,2014,January
10318,45,100.0,4,9.218445813765208e+29,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,nan,Allentown,PA,70267,USA,nan,Yu,Kyung,Medium,960127377683045.1,2015,January
10329,20,100.0,2,1.0352469270299465e+28,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,nan,NYC,NY,10022,USA,nan,Yu,Kwai,Medium,101747084824576.0,2015,January
10339,40,68.92,4,3.336123203602564e+27,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,nan,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,57759182850890.16,2015,January
10361,26,51.15,8,9.784798535262794e+24,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,3128066261328.681,2016,January
10374,39,100.0,5,6.11417890152803e+29,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,nan,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,781932151885828.9,2007,January
10388,50,44.51,5,6.017564984097573e+26,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,nan,New Bedford,MA,50553,USA,nan,Benitez,Violeta,Small,24530725598925.062,2008,January
10402,45,100.0,1,1.3415667595900754e+30,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",nan,Paris,nan,75016,France,EMEA,Perrier,Dominique,Medium,1158260229650520.0,2009,January
10417,45,100.0,5,1.4433074101118604e+30,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",nan,Madrid,nan,28034,Spain,EMEA,Freyre,Diego,Medium,1201377297151840.0,2010,January
10107,27,100.0,4,1.832151981861941e+30,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,nan,NYC,NY,10022,USA,nan,Yu,Kwai,Medium,1353570087532205.0,2005,January
10120,46,100.0,2,5.428888088031683e+31,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,7368098864721946.0,2007,January
10134,31,100.0,4,5.924696805370778e+30,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,nan,Paris,nan,75508,France,EMEA,Da Cunha,Daniel,Large,2434070008313396.5,2010,January
10145,33,100.0,8,5.154768956591865e+29,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,nan,Pasadena,CA,90003,USA,nan,Young,Julie,Medium,717967196784913.4,2011,January
10159,22,100.0,16,8.508853410981655e+28,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,nan,San Francisco,CA,nan,USA,nan,Brown,Julie,Medium,291699389971622.25,2013,January
10168,20,100.0,3,9.373524452205163e+28,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,nan,Burlingame,CA,94217,USA,nan,Hirano,Juri,Medium,306162121305121.0,2013,January
10180,41,100.0,11,3.9115354435868194e+31,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",nan,Lille,nan,59000,France,EMEA,Rance,Martine,Large,6254226925517509.0,2014,January
10188,45,100.0,3,3.326745134207551e+31,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",nan,Bergen,nan,N 5804,Norway,EMEA,Oeztan,Veysel,Large,5767794322102298.0,2014,January
10201,49,100.0,4,1.7915063817261234e+31,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,nan,San Francisco,CA,nan,USA,nan,Murphy,Julie,Large,4232619025764217.5,2015,January
10210,34,100.0,1,1.9767012590742053e+30,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",nan,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,1405952082780279.2,2005,January
10223,49,100.0,3,8.328932483535455e+31,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,9126298528722066.0,2006,January
10237,39,100.0,9,5.92415698965313e+30,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,nan,Frick,Michael,Large,2433959118320012.0,2008,January
10251,43,100.0,4,6.300824221433274e+30,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,nan,Newark,NJ,94019,USA,nan,Brown,William,Large,2510144263072000.0,2009,January
10263,41,100.0,4,2.333745037802525e+31,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,nan,Bridgewater,CT,97562,USA,nan,King,Julie,Large,4830885051212174.0,2010,January
10275,36,100.0,3,5.149432488310225e+30,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",nan,Nantes,nan,44000,France,EMEA,Labrune,Janine,Medium,2269236102372387.5,2011,January
10285,27,100.0,8,7.648184375132143e+29,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,nan,Cambridge,MA,51247,USA,nan,Hernandez,Marta,Medium,874538985702303.8,2012,January
